workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,parse_us_median,ranges_median,e2e_median,e2e_warm_median,cold_pct_max
A,orig,2d,async,10,128,569.03,604.39,559.24,19.83,100.0,316.22,230.36,86.56,,,883.37,655.24,0.0
A,orig,2d,async_bulk,5,128,568.15,570.82,563.26,2.78,100.0,315.42,230.64,22.64,62.35,13.00,880.73,591.61,0.0
A,orig,2d,async_win,10,128,568.83,1211.10,557.69,318.25,100.0,314.71,230.11,21.81,62.72,13.00,881.85,590.70,0.0
A,orig,2d,pread,5,128,565.63,576.77,498.25,29.31,100.0,1892.61,231.35,1657.27,,,2454.19,2221.80,0.0
A,orig,2e_K10,async,10,128,567.16,575.67,558.67,5.71,100.0,332.02,230.19,100.35,,,897.29,666.58,0.0
A,orig,2e_K10,async_bulk,5,128,568.24,568.97,557.45,4.33,100.0,328.50,230.12,36.21,62.98,23.00,894.40,602.99,0.0
A,orig,2e_K10,async_win,10,128,563.61,568.09,493.48,21.48,100.0,331.45,229.50,38.38,63.01,23.00,898.04,603.01,0.0
A,orig,2e_K10,pread,5,128,568.78,577.07,560.30,5.98,100.0,2701.25,231.65,2470.95,,,3270.03,3039.73,0.0
A,orig,2e_K500,async,10,128,549.60,603.94,524.12,25.55,31.2,988.10,230.46,757.83,,,1580.47,1350.01,0.0
A,orig,2e_K500,async_bulk,5,128,545.38,552.39,544.01,3.47,100.0,1064.77,232.52,739.28,91.95,450.00,1609.29,1283.80,0.0
A,orig,2e_K500,async_win,10,128,545.21,569.65,541.26,12.00,100.0,1035.96,231.31,707.70,92.49,450.00,1581.30,1256.36,0.0
A,orig,2e_K500,pread,5,128,544.72,558.73,515.71,14.90,100.0,20302.13,229.09,20072.92,,,20843.64,20614.43,0.0
A,orig,2f_slru,async,10,128,97.98,104.93,97.14,3.33,100.0,7306.63,231.28,7075.63,,,7404.12,7173.12,0.0
A,orig,2f_slru,async_bulk,5,128,759.05,762.52,757.32,2.21,1.5,720.63,230.42,79.45,408.75,2.00,1478.34,840.45,0.0
A,orig,2f_slru,async_win,10,128,97.64,100.27,95.68,1.56,90.2,2715.34,230.32,2080.88,408.33,138.00,2812.69,2178.23,0.0
A,orig,2f_slru,pread,5,128,98.09,101.00,95.87,1.89,100.0,18447.22,227.65,18219.57,,,18544.45,18316.80,0.0
A,orig,2f_top100,async,10,128,568.93,905.71,562.37,182.16,100.0,437.14,229.86,203.10,,,1008.72,773.88,0.0
A,orig,2f_top100,async_bulk,5,128,572.25,1311.68,568.34,370.07,100.0,428.20,231.38,129.40,66.66,96.00,1000.45,701.65,0.0
A,orig,2f_top100,async_win,10,128,568.19,570.28,565.88,1.64,100.0,425.41,230.12,131.06,65.41,96.00,992.60,697.81,0.0
A,orig,2f_top100,pread,5,128,571.11,574.50,502.56,27.77,100.0,8889.40,230.23,8660.69,,,9415.22,9186.09,0.0
A,orig,2f_top14,async,10,128,565.48,570.60,499.42,20.20,100.0,312.60,229.80,81.54,,,876.75,646.96,0.0
A,orig,2f_top14,async_bulk,5,128,568.36,574.48,561.73,4.52,100.0,313.68,231.16,20.22,62.46,13.00,880.20,588.72,0.0
A,orig,2f_top14,async_win,10,128,568.83,574.65,563.84,3.74,100.0,313.60,231.55,20.44,62.48,13.00,882.71,589.25,0.0
A,orig,2f_top14,pread,5,128,573.93,1456.70,564.52,409.86,100.0,1509.50,231.30,1221.97,,,2083.43,1855.13,0.0
A,orig,2f_top28,async,10,128,566.30,573.91,543.25,8.58,100.0,333.59,230.07,103.72,,,900.54,667.95,0.0
A,orig,2f_top28,async_bulk,5,128,567.65,573.52,564.34,3.44,100.0,332.61,231.06,38.46,63.10,27.00,902.49,609.01,0.0
A,orig,2f_top28,async_win,10,128,567.16,570.49,498.17,20.98,100.0,333.28,230.24,40.54,63.12,27.00,899.89,607.31,0.0
A,orig,2f_top28,pread,5,128,569.90,574.58,559.82,5.25,100.0,2637.33,229.67,2403.80,,,3210.49,2976.96,0.0
A,orig,2f_top500,async,10,128,550.08,613.93,541.65,26.16,100.0,1103.69,230.41,873.61,,,1650.24,1420.86,0.0
A,orig,2f_top500,async_bulk,5,128,547.79,550.34,544.67,1.99,100.0,1037.33,231.75,716.08,90.80,440.00,1583.67,1263.12,0.0
A,orig,2f_top500,async_win,10,128,544.60,554.41,489.74,17.65,100.0,1010.68,232.45,679.58,91.06,440.00,1545.39,1222.34,0.0
A,orig,2f_top500,pread,5,128,542.02,556.09,526.05,12.24,100.0,20380.96,228.39,20153.49,,,20925.28,20697.81,0.0
A,orig,baseline,baseline,10,128,883.48,903.89,829.01,25.96,0.0,0.00,0.00,0.00,,,883.48,883.48,0.0
A,orig,layers_5,async,10,128,562.49,569.43,499.57,25.79,100.0,299.21,229.32,70.13,,,860.83,632.18,0.0
A,orig,layers_5,async_bulk,5,128,568.49,683.54,558.21,57.94,100.0,301.71,230.84,7.48,62.38,2.00,870.20,575.88,0.0
A,orig,layers_5,async_win,10,128,565.02,568.95,501.04,19.46,100.0,300.32,230.53,7.94,61.83,2.00,866.96,573.00,0.0
A,orig,layers_5,pread,5,128,567.11,567.87,565.65,0.78,100.0,677.39,230.72,446.63,,,1245.34,1014.58,0.0
A,orig,layers_92,async,10,128,565.47,1164.27,500.26,327.56,100.0,429.50,229.76,199.13,,,999.51,767.98,0.0
A,orig,layers_92,async_bulk,5,128,567.05,567.86,497.89,27.71,100.0,419.91,231.03,126.20,66.48,87.00,983.36,682.94,0.0
A,orig,layers_92,async_win,10,128,571.70,1376.26,558.35,323.03,100.0,421.90,231.33,123.10,66.41,87.00,999.65,696.29,0.0
A,orig,layers_92,pread,5,128,569.72,626.48,561.69,29.58,100.0,8091.32,229.79,7861.65,,,8667.67,8437.88,0.0
A,orig,leaf_freq_K10,async,10,128,929.93,1718.58,869.48,331.06,100.0,305.39,230.55,75.50,,,1235.42,1005.82,0.0
A,orig,leaf_freq_K10,async_bulk,5,128,886.57,990.09,872.72,49.22,100.0,306.44,229.79,15.15,61.54,10.00,1197.39,901.72,0.0
A,orig,leaf_freq_K10,async_win,10,128,884.37,1011.07,865.86,53.17,100.0,306.35,230.18,14.51,61.84,10.00,1188.78,898.36,0.0
A,orig,leaf_freq_K10,pread,5,128,874.45,888.53,869.19,7.82,100.0,1125.12,230.60,894.41,,,1994.63,1764.02,0.0
A,orig,leaf_rand_K10,async,10,128,884.73,1739.61,809.96,427.09,100.0,309.56,232.72,76.77,,,1195.36,962.05,0.0
A,orig,leaf_rand_K10,async_bulk,5,128,882.27,889.05,741.83,57.09,100.0,307.64,231.43,15.58,61.38,10.00,1188.83,900.33,0.0
A,orig,leaf_rand_K10,async_win,10,128,881.79,1530.20,875.90,352.94,100.0,306.90,229.81,14.96,61.80,10.00,1188.95,896.85,0.0
A,orig,leaf_rand_K10,pread,5,128,882.06,922.74,874.14,20.94,100.0,1134.72,230.30,900.27,,,2025.84,1791.39,0.0
A,orig,learned_markov_14,async,10,128,563.76,631.11,499.56,46.89,100.0,311.11,230.47,80.53,,,876.38,644.64,0.0
A,orig,learned_markov_14,async_bulk,5,128,571.12,575.99,558.86,6.99,100.0,314.90,232.09,19.96,62.60,13.00,886.02,591.32,0.0
A,orig,learned_markov_14,async_win,10,128,566.25,571.28,561.76,3.10,100.0,312.29,230.67,19.34,62.17,13.00,878.80,585.99,0.0
A,orig,learned_markov_14,pread,5,128,566.87,568.12,563.37,1.69,100.0,1427.29,229.35,1197.58,,,1995.64,1765.93,0.0
A,orig,learned_markov_28,async,10,128,568.45,573.84,499.38,21.35,100.0,333.00,230.89,101.73,,,901.23,671.60,0.0
A,orig,learned_markov_28,async_bulk,5,128,562.56,571.65,499.76,26.49,100.0,332.29,229.79,40.45,61.92,26.00,894.25,605.80,0.0
A,orig,learned_markov_28,async_win,10,128,565.42,570.94,498.01,31.01,100.0,330.37,230.31,38.17,62.25,26.00,896.66,602.85,0.0
A,orig,learned_markov_28,pread,5,128,567.72,581.72,562.38,8.14,100.0,2760.36,231.93,2528.90,,,3322.93,3091.47,0.0
B,orig,2d,async,10,128,578.76,643.08,536.11,37.42,100.0,316.03,231.16,85.35,,,895.44,663.92,0.0
B,orig,2d,async_bulk,5,128,569.53,583.79,563.08,8.73,100.0,315.52,231.15,22.28,62.36,13.00,883.35,591.62,0.0
B,orig,2d,async_win,10,128,566.00,629.17,534.84,29.83,100.0,316.20,230.63,22.61,62.53,13.00,893.91,588.92,0.0
B,orig,2d,pread,5,128,598.42,617.47,535.60,29.11,100.0,1943.58,230.20,1712.50,,,2542.00,2310.92,0.0
B,orig,2e_K10,async,10,128,566.81,601.16,559.01,17.78,100.0,332.69,231.05,101.28,,,901.46,670.31,0.0
B,orig,2e_K10,async_bulk,5,128,567.58,588.73,537.35,17.85,100.0,330.97,230.27,37.93,62.81,23.00,896.63,607.42,0.0
B,orig,2e_K10,async_win,10,128,569.02,642.73,531.59,40.98,100.0,331.88,230.89,38.09,62.59,23.00,899.50,606.31,0.0
B,orig,2e_K10,pread,5,128,566.50,570.67,564.26,2.48,100.0,2716.74,230.62,2486.11,,,3286.87,3056.24,0.0
B,orig,2e_K500,async,10,128,180.91,190.12,169.86,5.46,100.0,1126.14,230.78,882.29,,,1306.87,1063.05,0.0
B,orig,2e_K500,async_bulk,5,128,181.74,182.24,178.03,1.62,100.0,1050.41,231.95,729.40,91.40,460.00,1232.15,910.79,0.0
B,orig,2e_K500,async_win,10,128,182.72,584.23,179.18,218.05,100.0,1066.83,231.70,742.75,91.80,460.00,1251.82,927.52,0.0
B,orig,2e_K500,pread,5,128,182.12,182.39,179.37,1.33,100.0,24537.20,229.41,24306.92,,,24716.92,24486.64,0.0
B,orig,2f_slru,async,10,128,97.62,100.50,97.08,1.19,100.0,7367.95,229.66,7138.95,,,7466.74,7237.75,0.0
B,orig,2f_slru,async_bulk,5,128,441.51,488.96,437.24,23.86,1.4,719.12,230.28,80.54,409.00,2.00,1164.43,522.38,0.0
B,orig,2f_slru,async_win,10,128,97.18,101.56,95.53,2.18,86.6,2660.22,229.93,2033.99,408.14,139.00,2760.28,2130.81,0.0
B,orig,2f_slru,pread,5,128,97.72,128.69,96.60,15.23,100.0,18460.05,231.29,18228.67,,,18557.77,18326.39,0.0
B,orig,2f_top100,async,10,128,533.56,563.29,524.94,14.49,100.0,437.68,230.03,207.78,,,976.10,744.79,0.0
B,orig,2f_top100,async_bulk,5,128,533.72,567.71,529.10,18.02,100.0,426.98,232.31,125.52,66.93,97.00,979.75,662.60,0.0
B,orig,2f_top100,async_win,10,128,533.61,564.00,496.06,20.88,100.0,429.47,229.99,132.35,66.52,97.00,965.49,667.06,0.0
B,orig,2f_top100,pread,5,128,556.94,565.00,531.60,14.52,100.0,8666.35,230.49,8435.86,,,9223.29,8992.80,0.0
B,orig,2f_top14,async,10,128,562.64,588.69,533.93,20.35,100.0,312.69,230.97,81.36,,,872.25,641.70,0.0
B,orig,2f_top14,async_bulk,5,128,542.12,571.84,536.21,15.43,100.0,311.07,230.06,19.48,61.96,13.00,856.87,563.03,0.0
B,orig,2f_top14,async_win,10,128,561.22,676.46,531.33,51.19,100.0,313.97,232.75,19.76,61.93,13.00,875.27,581.36,0.0
B,orig,2f_top14,pread,5,128,574.12,643.49,569.36,32.65,100.0,1454.12,229.46,1226.01,,,2050.04,1821.93,0.0
B,orig,2f_top28,async,10,128,530.74,565.52,488.09,21.90,100.0,331.54,229.26,102.58,,,863.83,634.93,0.0
B,orig,2f_top28,async_bulk,5,128,558.52,570.26,455.96,43.13,100.0,334.27,230.67,40.20,62.96,27.00,892.79,596.20,0.0
B,orig,2f_top28,async_win,10,128,530.75,561.38,457.87,30.32,100.0,333.98,230.22,40.67,62.20,27.00,864.85,570.95,0.0
B,orig,2f_top28,pread,5,128,535.71,569.51,491.34,27.99,100.0,2586.95,231.30,2356.05,,,3078.29,2847.39,0.0
B,orig,2f_top500,async,10,128,184.98,270.52,176.82,39.24,100.0,1095.48,230.72,853.37,,,1292.43,1047.39,0.0
B,orig,2f_top500,async_bulk,5,128,184.45,201.22,182.96,7.91,100.0,1050.81,229.88,734.04,89.74,450.00,1233.77,917.00,0.0
B,orig,2f_top500,async_win,10,128,183.22,183.95,181.27,0.89,100.0,1047.76,230.99,726.96,90.81,450.00,1231.45,910.65,0.0
B,orig,2f_top500,pread,5,128,182.57,185.43,180.78,1.82,100.0,22407.96,232.16,22179.05,,,22590.53,22361.62,0.0
B,orig,baseline,baseline,10,128,584.12,611.17,513.62,35.56,0.0,0.00,0.00,0.00,,,584.12,584.12,0.0
B,orig,layers_5,async,10,128,525.88,561.19,491.21,22.23,100.0,299.76,230.33,69.33,,,825.52,594.53,0.0
B,orig,layers_5,async_bulk,5,128,531.77,534.70,501.35,12.41,100.0,300.07,231.25,7.88,61.22,2.00,834.37,539.46,0.0
B,orig,layers_5,async_win,10,128,527.38,573.72,494.47,22.95,100.0,299.75,230.50,7.71,61.28,2.00,827.57,534.94,0.0
B,orig,layers_5,pread,5,128,534.54,565.36,488.34,27.94,100.0,673.21,230.75,440.87,,,1207.75,972.26,0.0
B,orig,layers_92,async,10,128,598.28,937.59,536.92,171.97,100.0,433.14,231.04,199.25,,,1022.17,794.00,0.0
B,orig,layers_92,async_bulk,5,128,592.50,597.14,563.68,14.24,100.0,430.88,231.12,127.44,65.62,87.00,1018.74,708.86,0.0
B,orig,layers_92,async_win,10,128,582.55,600.72,534.54,20.80,100.0,422.32,230.34,122.76,65.65,87.00,1003.84,707.22,0.0
B,orig,layers_92,pread,5,128,598.91,601.49,560.53,17.96,100.0,8119.61,229.86,7887.55,,,8721.25,8489.19,0.0
B,orig,leaf_freq_K10,async,10,128,537.00,927.21,501.02,213.79,100.0,306.09,230.63,75.61,,,842.94,612.79,0.0
B,orig,leaf_freq_K10,async_bulk,5,128,538.66,601.72,501.74,38.17,100.0,308.37,231.26,16.08,61.74,10.00,847.03,555.07,0.0
B,orig,leaf_freq_K10,async_win,10,128,535.17,556.10,498.17,19.17,100.0,307.34,229.69,14.66,61.87,10.00,840.84,549.93,0.0
B,orig,leaf_freq_K10,pread,5,128,543.80,569.35,533.83,13.80,100.0,1078.39,230.81,841.39,,,1622.19,1385.19,0.0
B,orig,leaf_rand_K10,async,10,128,538.39,597.12,497.82,31.18,100.0,307.33,230.11,76.64,,,845.88,615.46,0.0
B,orig,leaf_rand_K10,async_bulk,5,128,537.30,584.73,523.09,25.65,100.0,309.59,230.69,16.00,61.98,10.00,844.06,552.62,0.0
B,orig,leaf_rand_K10,async_win,10,128,538.09,934.98,498.33,209.98,100.0,308.59,231.52,15.27,62.05,10.00,847.56,553.36,0.0
B,orig,leaf_rand_K10,pread,5,128,539.48,569.24,473.67,35.06,100.0,1068.48,230.04,839.12,,,1636.30,1406.25,0.0
B,orig,learned_markov_14,async,10,128,569.25,638.84,532.43,34.29,100.0,314.15,233.39,81.42,,,883.24,650.54,0.0
