workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,e2e_median,e2e_warm_median,cold_pct_max
C_hit,orig,2d,async,10,128,548.12,552.21,486.06,18.95,100.0,205.55,137.50,68.02,754.48,615.73,0.0
C_hit,orig,2d,pread,10,128,548.06,550.95,541.87,2.73,100.0,565.90,137.58,428.80,1113.28,975.91,0.0
C_hit,orig,2e_K10,async,10,128,495.59,557.27,491.08,29.71,100.0,208.19,128.09,80.11,704.95,576.07,0.0
C_hit,orig,2e_K10,pread,10,128,492.38,527.37,484.88,18.66,100.0,1101.63,127.91,973.89,1602.50,1475.04,0.0
C_hit,orig,2e_K500,async,10,128,170.65,172.29,167.87,1.31,45.7,837.62,127.22,710.25,1008.39,881.02,0.0
C_hit,orig,2e_K500,pread,10,128,169.64,172.40,168.51,1.49,100.0,3270.68,128.58,3141.09,3441.10,3311.50,0.0
C_hit,orig,2f_slru,async,10,128,85.76,89.21,81.01,2.61,100.0,1472.96,127.62,1345.39,1558.04,1430.47,0.0
C_hit,orig,2f_slru,pread,10,128,83.02,84.61,81.13,1.21,100.0,4656.59,126.59,4529.51,4738.82,4611.75,0.0
C_hit,orig,2f_top14,async,10,128,496.86,527.50,493.72,16.11,100.0,247.91,168.66,78.82,745.23,574.94,0.0
C_hit,orig,2f_top14,pread,10,128,494.99,557.74,492.13,25.40,100.0,1048.99,167.94,880.91,1542.77,1374.69,0.0
C_hit,orig,2f_top28,async,10,128,550.26,557.82,485.36,30.64,100.0,265.85,169.16,96.31,817.62,647.24,0.0
C_hit,orig,2f_top28,pread,10,128,496.35,559.03,495.10,25.12,100.0,1056.47,168.47,886.30,1556.61,1387.54,0.0
C_hit,orig,baseline,baseline,10,128,565.18,569.77,499.17,20.10,0.0,0.00,0.00,0.00,565.18,565.18,0.0
C_hit,orig,layers_92,async,10,128,548.57,550.79,545.84,1.48,100.0,330.06,127.25,202.19,880.44,750.90,0.0
C_hit,orig,layers_92,pread,10,128,547.49,552.20,545.09,2.28,100.0,8037.80,126.72,7911.77,8585.10,8459.08,0.0
