workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,open_us,deliver_us,parse_us,ranges,e2e_us,e2e_warm_us,avg_us,majflt,minflt,load,memavail_kb,ts
A,orig,baseline,baseline,128,1,1,0.00,0.00,549.70,0.00,0.00,0.00,,,549.70,549.70,2.09,180.00,270.00,0.64,42880404,2026-09-23T01:54:17Z
B,orig,baseline,baseline,128,1,1,0.00,0.00,736.76,0.00,0.00,0.00,,,736.76,736.76,2.14,181.00,273.00,0.67,42893492,2026-09-23T01:54:17Z
C,orig,baseline,baseline,128,1,1,0.00,0.00,1072.60,0.00,0.00,0.00,,,1072.60,1072.60,1.61,24.00,25.00,0.67,42894272,2026-09-23T01:54:18Z
C_hit,orig,baseline,baseline,128,1,1,0.00,0.00,1033.33,0.00,0.00,0.00,,,1033.33,1033.33,1.67,36.00,64.00,0.67,42895096,2026-09-23T01:54:18Z
A,orig,layers_5,pread,128,1,1,0.00,100.00,179.13,580.99,138.66,442.33,,,760.12,621.46,2.15,180.00,271.00,0.67,42897212,2026-09-23T01:54:18Z
A,orig,layers_5,async,128,1,1,0.00,100.00,389.95,209.19,140.10,69.09,,,599.14,459.04,2.14,180.00,271.00,0.67,42903192,2026-09-23T01:54:19Z
A,orig,layers_5,async_win,128,1,1,0.00,100.00,385.57,207.05,138.53,6.83,61.69,2.00,592.62,392.40,2.13,180.00,271.00,0.67,42903400,2026-09-23T01:54:19Z
A,orig,layers_5,async_bulk,128,1,1,0.00,100.00,395.48,208.25,138.75,7.66,61.85,2.00,603.73,403.14,2.10,180.00,271.00,0.67,42903592,2026-09-23T01:54:19Z
A,orig,layers_92,pread,128,1,1,0.00,100.00,181.33,9027.25,138.72,8888.53,,,9208.58,9069.86,2.13,177.00,286.00,0.67,42910232,2026-09-23T01:54:19Z
A,orig,layers_92,async,128,1,1,0.00,100.00,358.81,342.48,139.47,203.01,,,701.29,561.82,2.14,178.00,283.00,0.67,42910452,2026-09-23T01:54:20Z
A,orig,layers_92,async_win,128,1,1,0.00,100.00,359.30,315.44,138.71,110.60,66.13,87.00,674.74,469.90,2.15,178.00,283.00,0.67,42910756,2026-09-23T01:54:20Z
A,orig,layers_92,async_bulk,128,1,1,0.00,100.00,398.08,318.92,138.90,113.92,66.09,87.00,717.00,512.00,2.12,178.00,283.00,0.67,42906800,2026-09-23T01:54:20Z
A,orig,2d,pread,128,1,1,0.00,100.00,220.41,1848.93,142.23,1706.70,,,2069.34,1927.11,2.15,177.00,286.00,0.67,42914204,2026-09-23T01:54:21Z
A,orig,2d,async,128,1,1,0.00,100.00,359.13,222.72,137.54,85.18,,,581.85,444.31,2.15,178.00,283.00,0.67,42914140,2026-09-23T01:54:21Z
A,orig,2d,async_win,128,1,1,0.00,100.00,361.44,220.39,136.66,21.98,61.76,13.00,581.83,383.42,2.13,178.00,283.00,0.67,42916480,2026-09-23T01:54:21Z
A,orig,2d,async_bulk,128,1,1,0.00,100.00,356.69,221.57,137.58,22.76,61.23,13.00,578.26,379.45,2.13,178.00,283.00,0.67,42917184,2026-09-23T01:54:22Z
A,orig,2e_K10,pread,128,1,1,0.00,100.00,179.69,2665.66,138.30,2527.36,,,2845.35,2707.05,2.14,181.00,287.00,0.67,42916644,2026-09-23T01:54:22Z
A,orig,2e_K10,async,128,1,1,0.00,100.00,353.55,234.39,138.29,96.10,,,587.94,449.65,2.10,181.00,287.00,0.67,42924656,2026-09-23T01:54:22Z
A,orig,2e_K10,async_win,128,1,1,0.00,100.00,359.87,236.72,138.34,35.14,63.24,22.00,596.59,395.01,2.13,181.00,287.00,0.69,42924876,2026-09-23T01:54:23Z
A,orig,2e_K10,async_bulk,128,1,1,0.00,100.00,357.78,239.45,140.88,36.55,62.02,22.00,597.23,394.33,2.16,181.00,287.00,0.69,42925664,2026-09-23T01:54:23Z
A,orig,2e_K500,pread,128,1,1,0.00,100.00,181.57,21545.26,183.09,21362.17,,,21726.83,21543.74,2.04,169.00,427.00,0.69,42928192,2026-09-23T01:54:23Z
A,orig,2e_K500,async,128,1,1,0.00,100.00,181.41,1041.02,182.40,858.61,,,1222.43,1040.02,2.10,181.00,408.00,0.69,42931408,2026-09-23T01:54:24Z
A,orig,2e_K500,async_win,128,1,1,0.00,100.00,182.82,1024.96,180.53,714.81,129.61,492.00,1207.78,897.63,2.10,181.00,409.00,0.69,42931744,2026-09-23T01:54:24Z
A,orig,2e_K500,async_bulk,128,1,1,0.00,100.00,186.57,1017.83,180.35,708.74,128.74,492.00,1204.40,895.31,2.08,181.00,408.00,0.69,42931740,2026-09-23T01:54:24Z
A,orig,2f_top14,pread,128,1,1,0.00,100.00,356.53,1424.42,144.79,1279.62,,,1780.95,1636.15,2.14,182.00,281.00,0.69,42935784,2026-09-23T01:54:24Z
A,orig,2f_top14,async,128,1,1,0.00,100.00,387.02,224.38,144.46,79.92,,,611.40,466.94,2.16,182.00,281.00,0.69,42936316,2026-09-23T01:54:25Z
A,orig,2f_top14,async_win,128,1,1,0.00,100.00,404.92,224.64,142.78,19.90,61.97,13.00,629.56,424.82,2.15,182.00,281.00,0.69,42936744,2026-09-23T01:54:25Z
A,orig,2f_top14,async_bulk,128,1,1,0.00,100.00,354.00,225.26,143.79,19.08,62.40,13.00,579.26,373.08,2.11,182.00,281.00,0.69,42943576,2026-09-23T01:54:25Z
A,orig,2f_top28,pread,128,1,1,0.00,100.00,360.28,2603.09,187.74,2415.35,,,2963.37,2775.63,2.17,183.00,288.00,0.69,42937348,2026-09-23T01:54:26Z
A,orig,2f_top28,async,128,1,1,0.00,100.00,359.45,280.29,178.43,101.86,,,639.74,461.31,2.14,183.00,288.00,0.69,42951764,2026-09-23T01:54:26Z
A,orig,2f_top28,async_win,128,1,1,0.00,100.00,358.15,278.84,176.93,39.25,62.66,27.00,636.99,397.40,2.14,183.00,288.00,0.69,42953064,2026-09-23T01:54:26Z
A,orig,2f_top28,async_bulk,128,1,1,0.00,100.00,360.49,278.01,179.31,35.95,62.76,27.00,638.50,396.44,2.14,183.00,288.00,0.69,42954980,2026-09-23T01:54:27Z
A,orig,2f_top100,pread,128,1,1,0.00,100.00,245.91,8696.21,182.92,8513.28,,,8942.12,8759.19,2.14,183.00,324.00,0.69,42955488,2026-09-23T01:54:27Z
A,orig,2f_top100,async,128,1,1,0.00,100.00,248.39,377.91,181.28,196.63,,,626.30,445.02,2.15,183.00,324.00,0.69,42955788,2026-09-23T01:54:27Z
A,orig,2f_top100,async_win,128,1,1,0.00,100.00,250.67,373.54,181.13,125.71,66.70,99.00,624.21,376.38,2.15,183.00,324.00,0.72,42956444,2026-09-23T01:54:28Z
A,orig,2f_top100,async_bulk,128,1,1,0.00,100.00,246.89,365.44,178.75,120.56,66.13,99.00,612.33,367.45,2.11,183.00,324.00,0.72,42956428,2026-09-23T01:54:28Z
A,orig,2f_top500,pread,128,1,1,0.00,100.00,182.73,21300.56,151.68,21148.88,,,21483.29,21331.61,2.05,172.00,427.00,0.72,42959136,2026-09-23T01:54:28Z
A,orig,2f_top500,async,128,1,1,0.00,100.00,180.52,941.94,148.97,792.97,,,1122.46,973.49,2.07,179.00,411.00,0.72,42959388,2026-09-23T01:54:29Z
A,orig,2f_top500,async_win,128,1,1,0.00,100.00,184.23,936.12,140.03,705.52,90.57,481.00,1120.35,889.75,2.08,179.00,411.00,0.72,42959592,2026-09-23T01:54:29Z
A,orig,2f_top500,async_bulk,128,1,1,0.00,100.00,186.03,930.16,139.93,699.96,90.27,481.00,1116.19,885.99,2.07,179.00,412.00,0.72,42960448,2026-09-23T01:54:29Z
A,orig,2f_slru,pread,128,1,1,0.00,100.00,94.72,17787.49,63.05,17724.44,,,17882.21,17819.16,1.54,0.00,278.00,0.72,42962304,2026-09-23T01:54:29Z
A,orig,2f_slru,async,128,1,1,0.00,100.00,97.47,7291.10,185.01,7106.09,,,7388.57,7203.56,1.55,0.00,278.00,0.72,42960256,2026-09-23T01:54:30Z
A,orig,2f_slru,async_win,128,1,1,0.00,82.70,95.35,2484.24,184.31,1903.74,396.19,138.00,2579.59,1999.09,1.58,0.00,278.00,0.72,42961304,2026-09-23T01:54:30Z
A,orig,2f_slru,async_bulk,128,1,1,0.00,1.40,389.45,654.76,180.17,81.39,393.20,2.00,1044.21,470.84,2.14,178.00,269.00,0.72,42963064,2026-09-23T01:54:30Z
A,orig,leaf_freq_K10,pread,128,1,1,0.00,100.00,488.97,996.61,66.92,929.70,,,1485.58,1418.67,2.12,183.00,274.00,0.72,42963100,2026-09-23T01:54:31Z
A,orig,leaf_freq_K10,async,128,1,1,0.00,100.00,486.87,260.23,184.61,75.62,,,747.10,562.49,2.12,183.00,274.00,0.72,42962616,2026-09-23T01:54:31Z
A,orig,leaf_freq_K10,async_win,128,1,1,0.00,100.00,485.63,257.69,179.76,14.98,62.95,10.00,743.32,500.61,2.11,183.00,274.00,0.72,42960232,2026-09-23T01:54:31Z
A,orig,leaf_freq_K10,async_bulk,128,1,1,0.00,100.00,487.50,259.21,181.79,15.45,61.97,10.00,746.71,502.95,2.17,183.00,274.00,0.72,42980740,2026-09-23T01:54:31Z
A,orig,leaf_rand_K10,pread,128,1,1,0.00,100.00,488.14,932.01,65.17,866.84,,,1420.15,1354.98,2.09,180.00,270.00,0.72,42982676,2026-09-23T01:54:32Z
A,orig,leaf_rand_K10,async,128,1,1,0.00,100.00,485.49,262.38,183.50,78.89,,,747.87,564.38,2.15,180.00,270.00,0.72,42982812,2026-09-23T01:54:32Z
A,orig,leaf_rand_K10,async_win,128,1,1,0.00,100.00,484.58,260.70,183.06,15.94,61.71,10.00,745.28,500.52,2.11,180.00,270.00,0.74,42983328,2026-09-23T01:54:32Z
A,orig,leaf_rand_K10,async_bulk,128,1,1,0.00,100.00,484.87,260.79,184.77,14.01,62.02,10.00,745.66,498.88,2.11,180.00,270.00,0.74,42983656,2026-09-23T01:54:33Z
A,orig,learned_markov_14,pread,128,1,1,0.00,100.00,357.52,1434.58,184.53,1250.05,,,1792.10,1607.57,2.11,178.00,283.00,0.74,42984840,2026-09-23T01:54:33Z
A,orig,learned_markov_14,async,128,1,1,0.00,100.00,361.06,263.27,182.87,80.40,,,624.33,441.46,2.15,178.00,282.00,0.74,42984304,2026-09-23T01:54:33Z
A,orig,learned_markov_14,async_win,128,1,1,0.00,100.00,406.95,265.70,183.59,20.08,62.03,13.00,672.65,427.03,2.12,178.00,283.00,0.74,42984332,2026-09-23T01:54:34Z
A,orig,learned_markov_14,async_bulk,128,1,1,0.00,100.00,355.48,276.07,183.66,30.24,62.17,13.00,631.55,385.72,2.14,178.00,282.00,0.74,42985432,2026-09-23T01:54:34Z
A,orig,learned_markov_28,pread,128,1,1,0.00,100.00,356.94,2685.20,146.67,2538.53,,,3042.14,2895.47,2.13,178.00,285.00,0.74,42985832,2026-09-23T01:54:34Z
A,orig,learned_markov_28,async,128,1,1,0.00,100.00,354.11,232.52,131.60,100.92,,,586.63,455.03,2.13,178.00,286.00,0.74,42986112,2026-09-23T01:54:35Z
A,orig,learned_markov_28,async_win,128,1,1,0.00,100.00,405.70,229.53,135.72,34.73,59.08,26.00,635.23,440.43,2.12,178.00,286.00,0.74,42986808,2026-09-23T01:54:35Z
A,orig,learned_markov_28,async_bulk,128,1,1,0.00,100.00,358.60,233.93,137.01,34.23,62.70,26.00,592.53,392.83,2.13,178.00,286.00,0.74,42986700,2026-09-23T01:54:35Z
B,orig,layers_5,pread,128,1,1,0.00,100.00,404.93,509.08,64.29,444.79,,,914.01,849.72,2.19,181.00,273.00,0.74,42987624,2026-09-23T01:54:36Z
B,orig,layers_5,async,128,1,1,0.00,100.00,417.30,258.12,188.62,69.50,,,675.42,486.80,2.21,182.00,272.00,0.74,42987552,2026-09-23T01:54:36Z
B,orig,layers_5,async_win,128,1,1,0.00,100.00,418.82,248.62,179.52,7.39,61.71,2.00,667.44,426.21,2.20,182.00,272.00,0.74,42970200,2026-09-23T01:54:36Z
B,orig,layers_5,async_bulk,128,1,1,0.00,100.00,415.53,252.22,183.65,7.47,61.10,2.00,667.75,423.00,2.21,182.00,272.00,0.74,42976716,2026-09-23T01:54:36Z
B,orig,layers_92,pread,128,1,1,0.00,100.00,397.66,8185.92,177.77,8008.15,,,8583.58,8405.81,2.21,180.00,281.00,0.74,42969400,2026-09-23T01:54:37Z
B,orig,layers_92,async,128,1,1,0.00,100.00,416.96,383.24,187.47,195.77,,,800.20,612.73,2.19,181.00,278.00,0.74,42969472,2026-09-23T01:54:37Z
B,orig,layers_92,async_win,128,1,1,0.00,100.00,400.73,364.39,182.62,116.31,65.46,87.00,765.12,517.04,2.17,181.00,277.00,0.76,42969276,2026-09-23T01:54:37Z
B,orig,layers_92,async_bulk,128,1,1,0.00,100.00,411.21,368.66,182.56,119.88,66.22,87.00,779.87,531.09,2.15,181.00,278.00,0.76,42969632,2026-09-23T01:54:38Z
B,orig,2d,pread,128,1,1,0.00,100.00,403.87,1896.56,150.58,1745.97,,,2300.43,2149.84,2.19,180.00,281.00,0.76,42969796,2026-09-23T01:54:38Z
B,orig,2d,async,128,1,1,0.00,100.00,400.53,233.89,148.47,85.42,,,634.42,485.95,2.15,181.00,277.00,0.76,42969460,2026-09-23T01:54:38Z
B,orig,2d,async_win,128,1,1,0.00,100.00,400.37,236.44,153.25,21.07,62.12,13.00,636.81,421.44,2.16,181.00,278.00,0.76,42969236,2026-09-23T01:54:39Z
B,orig,2d,async_bulk,128,1,1,0.00,100.00,416.77,233.08,147.73,23.07,62.28,13.00,649.85,439.84,2.21,181.00,278.00,0.76,42970416,2026-09-23T01:54:39Z
B,orig,2e_K10,pread,128,1,1,0.00,100.00,407.19,2801.12,151.07,2650.04,,,3208.31,3057.23,2.17,180.00,283.00,0.76,42969740,2026-09-23T01:54:39Z
B,orig,2e_K10,async,128,1,1,0.00,100.00,404.19,247.02,151.85,95.17,,,651.21,499.36,2.16,181.00,281.00,0.76,42970736,2026-09-23T01:54:40Z
B,orig,2e_K10,async_win,128,1,1,0.00,100.00,412.69,246.39,150.90,33.23,62.26,23.00,659.08,445.92,2.12,181.00,281.00,0.76,42971260,2026-09-23T01:54:40Z
B,orig,2e_K10,async_bulk,128,1,1,0.00,100.00,407.46,246.73,151.65,32.78,62.31,23.00,654.19,440.24,2.15,181.00,280.00,0.76,42971164,2026-09-23T01:54:40Z
