workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,parse_us_median,ranges_median,e2e_median,e2e_warm_median,cold_pct_max
A,orig,2d,async,10,128,360.05,406.85,353.55,22.75,100.0,282.24,194.12,87.00,,,645.93,450.42,0.0
A,orig,2d,async_bulk,5,128,361.84,403.04,351.81,21.26,100.0,277.42,193.98,22.05,62.50,13.00,644.04,384.23,0.0
A,orig,2d,async_win,10,128,360.00,423.26,324.71,32.10,100.0,278.84,194.49,22.16,62.71,13.00,638.90,382.47,0.0
A,orig,2d,pread,5,128,181.09,181.95,179.06,1.08,100.0,1916.60,194.22,1718.58,,,2095.66,1897.64,0.0
A,orig,2e_K10,async,10,128,344.50,392.46,324.99,25.20,100.0,291.59,194.22,98.09,,,635.14,442.26,0.0
A,orig,2e_K10,async_bulk,5,128,358.40,391.46,333.14,23.37,100.0,288.87,194.49,32.80,62.71,22.00,642.22,390.88,0.0
A,orig,2e_K10,async_win,10,128,352.07,406.87,326.32,27.97,100.0,287.69,192.87,32.50,62.52,22.00,638.23,385.27,0.0
A,orig,2e_K10,pread,5,128,178.99,180.73,178.25,0.95,100.0,2652.78,194.06,2458.71,,,2832.08,2638.01,0.0
A,orig,2e_K500,async,10,128,181.27,184.42,171.45,3.56,100.0,1033.09,195.03,836.52,,,1213.26,1016.33,0.0
A,orig,2e_K500,async_bulk,5,128,183.21,185.48,177.53,2.79,100.0,1008.54,193.90,715.10,92.02,492.00,1191.75,901.10,0.0
A,orig,2e_K500,async_win,10,128,182.37,187.73,180.48,2.99,100.0,1010.31,194.43,724.87,91.85,492.00,1192.44,906.50,0.0
A,orig,2e_K500,pread,5,128,183.10,184.12,182.26,0.73,100.0,21756.01,194.93,21561.09,,,21940.35,21745.43,0.0
A,orig,2f_slru,async,10,128,97.83,106.10,96.30,4.23,100.0,7276.42,228.84,7047.83,,,7373.86,7145.27,0.0
A,orig,2f_slru,async_bulk,5,128,389.56,391.78,326.05,31.63,1.4,630.40,228.93,81.31,321.48,2.00,1019.43,469.01,0.0
A,orig,2f_slru,async_win,10,128,97.88,99.88,96.12,1.30,82.6,2494.57,228.89,1943.75,322.31,138.00,2593.80,2043.20,0.0
A,orig,2f_slru,pread,5,128,97.13,99.35,93.96,2.17,100.0,18390.37,229.90,18162.07,,,18490.06,18261.76,0.0
A,orig,2f_top100,async,10,128,247.56,251.70,242.63,2.57,100.0,386.25,194.37,193.24,,,634.68,441.25,0.0
A,orig,2f_top100,async_bulk,5,128,259.88,282.47,241.63,16.68,100.0,384.88,194.41,122.62,66.70,99.00,640.13,381.91,0.0
A,orig,2f_top100,async_win,10,128,248.62,250.85,245.71,1.76,100.0,381.97,193.95,122.86,67.00,99.00,630.37,370.77,0.0
A,orig,2f_top100,pread,5,128,245.75,248.49,243.91,1.67,100.0,8684.13,188.16,8495.96,,,8928.04,8739.87,0.0
A,orig,2f_top14,async,10,128,375.67,396.04,356.19,15.71,100.0,274.52,193.91,80.62,,,647.19,454.86,0.0
A,orig,2f_top14,async_bulk,5,128,390.16,403.05,356.75,16.99,100.0,276.90,194.13,19.75,62.12,13.00,666.82,410.39,0.0
A,orig,2f_top14,async_win,10,128,395.57,415.06,357.31,21.47,100.0,277.20,194.59,20.13,62.30,13.00,672.16,415.51,0.0
A,orig,2f_top14,pread,5,128,360.87,388.84,325.53,23.02,100.0,1462.51,194.74,1274.78,,,1841.83,1646.51,0.0
A,orig,2f_top28,async,10,128,357.87,362.76,326.21,10.17,100.0,292.44,194.74,98.01,,,651.93,457.77,0.0
A,orig,2f_top28,async_bulk,5,128,357.60,362.18,354.27,2.95,100.0,294.53,195.51,35.46,62.84,27.00,655.11,396.83,0.0
A,orig,2f_top28,async_win,10,128,356.69,388.47,326.18,22.40,100.0,293.75,194.84,35.95,63.02,27.00,646.70,391.61,0.0
A,orig,2f_top28,pread,5,128,359.44,401.52,321.69,32.62,100.0,2653.45,194.13,2462.62,,,2998.38,2802.63,0.0
A,orig,2f_top500,async,10,128,184.07,185.27,176.19,2.59,100.0,1016.72,195.20,820.21,,,1200.82,1004.32,0.0
A,orig,2f_top500,async_bulk,5,128,184.52,185.01,183.02,0.78,100.0,987.86,191.29,706.71,90.72,481.00,1172.78,891.63,0.0
