workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,open_us,deliver_us,e2e_us,e2e_warm_us,avg_us,majflt,minflt,load,memavail_kb
C_hit,orig,baseline,baseline,128,1,1,0.00,0.00,959.29,0.00,0.00,0.00,959.29,959.29,1.67,37.00,55.00,0.72,58209392
C_hit,orig,2d,pread,128,1,1,0.00,100.00,549.21,617.65,179.81,437.84,1166.86,987.05,1.68,37.00,59.00,0.72,58210140
C_hit,orig,2d,async,128,1,1,0.00,100.00,492.73,251.49,179.04,72.46,744.22,565.19,1.65,37.00,59.00,0.72,58210732
C_hit,orig,2e_K10,pread,128,1,1,0.00,100.00,455.75,1085.27,104.30,980.98,1541.02,1436.73,1.67,36.00,59.00,0.72,58212060
C_hit,orig,2e_K10,async,128,1,1,0.00,100.00,456.91,209.08,128.65,80.43,665.99,537.34,1.70,37.00,61.00,0.72,58212172
C_hit,orig,2e_K500,pread,128,1,1,0.00,100.00,490.88,3219.21,58.49,3160.72,3710.09,3651.60,1.57,10.00,59.00,0.72,58213008
C_hit,orig,2e_K500,async,128,1,1,0.00,56.00,517.22,866.61,176.62,689.99,1383.83,1207.21,1.58,11.00,58.00,0.72,58212516
C_hit,orig,2f_slru,pread,128,1,1,0.00,100.00,83.10,4306.25,58.77,4247.48,4389.35,4330.58,1.52,0.00,62.00,0.72,58213616
C_hit,orig,2f_slru,async,128,1,1,0.00,100.00,88.48,1582.30,178.92,1403.38,1670.78,1491.86,1.57,0.00,62.00,0.72,58213672
C_hit,orig,2f_top14,pread,128,1,1,0.00,100.00,534.65,1008.09,104.75,903.34,1542.74,1437.99,1.66,36.00,59.00,0.72,58213812
C_hit,orig,2f_top14,async,128,1,1,0.00,100.00,462.12,214.02,134.74,79.28,676.14,541.40,1.67,37.00,60.00,0.72,58213732
C_hit,orig,2f_top28,pread,128,1,1,0.00,100.00,461.58,951.81,59.49,892.32,1413.39,1353.90,1.67,35.00,59.00,0.72,58215200
C_hit,orig,2f_top28,async,128,1,1,0.00,100.00,494.18,285.41,176.41,109.00,779.59,603.18,1.66,37.00,59.00,0.72,58216220
C_hit,orig,layers_92,pread,128,1,1,0.00,100.00,476.00,7752.40,59.89,7692.51,8228.40,8168.51,1.68,37.00,59.00,0.72,58216108
C_hit,orig,layers_92,async,128,1,1,0.00,100.00,550.79,378.56,172.09,206.47,929.35,757.26,1.67,37.00,59.00,0.72,58216456
C_hit,orig,baseline,baseline,128,2,0,0.00,0.00,916.36,0.00,0.00,0.00,916.36,916.36,1.66,37.00,55.00,0.72,58215640
C_hit,orig,2d,pread,128,2,0,0.00,100.00,482.03,597.67,168.94,428.74,1079.70,910.77,1.66,37.00,59.00,0.72,58215884
C_hit,orig,2d,async,128,2,0,0.00,100.00,484.34,238.83,170.37,68.46,723.17,552.80,1.66,37.00,59.00,0.72,58215984
C_hit,orig,2e_K10,pread,128,2,0,0.00,100.00,453.05,1182.33,171.70,1010.63,1635.38,1463.68,1.66,36.00,59.00,0.82,58216148
C_hit,orig,2e_K10,async,128,2,0,0.00,100.00,452.72,251.81,171.86,79.95,704.53,532.67,1.66,37.00,61.00,0.82,58216532
C_hit,orig,2e_K500,pread,128,2,0,0.00,100.00,549.03,3411.67,169.67,3242.01,3960.70,3791.04,1.56,10.00,59.00,0.82,58217368
C_hit,orig,2e_K500,async,128,2,0,0.00,44.20,515.47,840.82,168.59,672.23,1356.29,1187.70,1.57,11.00,58.00,0.82,58215772
C_hit,orig,2f_slru,pread,128,2,0,0.00,100.00,76.89,4675.02,170.89,4504.13,4751.91,4581.02,1.53,0.00,62.00,0.82,58229308
C_hit,orig,2f_slru,async,128,2,0,0.00,100.00,82.95,1531.73,171.88,1359.85,1614.68,1442.80,1.54,0.00,62.00,0.82,58229820
C_hit,orig,2f_top14,pread,128,2,0,0.00,100.00,497.12,1049.13,169.06,880.08,1546.25,1377.20,1.67,36.00,59.00,0.82,58229116
C_hit,orig,2f_top14,async,128,2,0,0.00,100.00,495.84,252.24,172.51,79.73,748.08,575.57,1.66,37.00,60.00,0.82,58229484
C_hit,orig,2f_top28,pread,128,2,0,0.00,100.00,461.00,1047.99,170.54,877.45,1508.99,1338.45,1.65,35.00,59.00,0.82,58229604
C_hit,orig,2f_top28,async,128,2,0,0.00,71.40,450.95,266.60,171.56,95.04,717.55,545.99,1.67,37.00,59.00,0.82,58230560
C_hit,orig,layers_92,pread,128,2,0,0.00,100.00,548.17,7960.47,169.84,7790.63,8508.64,8338.80,1.68,37.00,59.00,0.82,58231992
C_hit,orig,layers_92,async,128,2,0,0.00,100.00,556.62,376.24,169.01,207.23,932.86,763.85,1.67,37.00,59.00,0.82,58231916
C_hit,orig,baseline,baseline,128,3,0,0.00,0.00,927.03,0.00,0.00,0.00,927.03,927.03,1.66,37.00,55.00,0.82,58231988
C_hit,orig,2d,pread,128,3,0,0.00,100.00,482.74,599.98,172.03,427.94,1082.72,910.68,1.69,37.00,59.00,0.82,58231268
C_hit,orig,2d,async,128,3,0,0.00,100.00,475.76,240.97,170.75,70.22,716.73,545.98,1.68,37.00,59.00,0.82,58230828
C_hit,orig,2e_K10,pread,128,3,0,0.00,100.00,453.83,1182.82,172.75,1010.08,1636.65,1463.91,1.67,36.00,59.00,0.82,58231880
C_hit,orig,2e_K10,async,128,3,0,0.00,100.00,484.34,248.71,169.65,79.06,733.05,563.40,1.67,37.00,61.00,0.82,58232172
C_hit,orig,2e_K500,pread,128,3,0,0.00,100.00,533.32,3299.70,172.04,3127.66,3833.02,3660.98,1.57,10.00,59.00,0.82,58233344
C_hit,orig,2e_K500,async,128,3,0,0.00,44.00,514.59,833.41,168.04,665.37,1348.00,1179.96,1.61,11.00,58.00,0.82,58233316
C_hit,orig,2f_slru,pread,128,3,0,0.00,100.00,83.53,4760.46,170.71,4589.75,4843.99,4673.28,1.51,0.00,62.00,0.82,58234984
C_hit,orig,2f_slru,async,128,3,0,0.00,100.00,83.63,1534.74,169.84,1364.91,1618.37,1448.54,1.54,0.00,62.00,0.83,58234864
C_hit,orig,2f_top14,pread,128,3,0,0.00,100.00,494.82,1055.78,169.53,886.25,1550.60,1381.07,1.66,36.00,59.00,0.83,58234020
