workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,e2e_median,e2e_warm_median,cold_pct_max
YC,orig,2d,async,10,128,481.76,498.19,422.22,26.23,100.0,330.28,131.47,199.09,809.73,678.97,0.0
YC,orig,2d,pread,10,128,483.94,505.87,475.81,11.98,100.0,8073.04,132.26,7941.86,8563.62,8430.89,0.0
YC,orig,2e_K10,async,10,128,480.06,492.89,478.67,5.65,100.0,346.01,131.91,213.49,826.34,694.54,0.0
YC,orig,2e_K10,pread,10,128,481.55,484.88,424.33,17.43,100.0,8941.53,131.37,8826.56,9419.51,9306.40,0.0
YC,orig,2e_K500,async,10,128,484.09,487.22,482.15,1.82,100.0,1135.30,132.04,1003.49,1619.41,1486.54,0.0
YC,orig,2e_K500,pread,10,128,485.79,489.21,483.52,1.88,100.0,51861.85,132.06,51729.40,52349.46,52217.02,0.0
YC,orig,2f_slru,async,10,128,100.75,102.53,98.80,1.17,100.0,42122.43,131.44,41991.26,42223.51,42092.34,0.0
YC,orig,2f_slru,pread,10,128,107.12,115.59,105.17,3.69,100.0,100129.38,131.56,99992.80,100236.70,100100.12,0.0
YC,orig,2f_top14,async,10,128,480.57,484.78,419.10,24.50,100.0,216.00,131.70,83.82,696.91,564.74,0.0
YC,orig,2f_top14,pread,10,128,483.85,502.63,414.95,23.84,100.0,1381.15,130.88,1250.04,1866.68,1735.18,0.0
YC,orig,2f_top28,async,10,128,480.26,487.40,415.38,20.08,100.0,236.11,130.83,103.62,716.98,585.88,0.0
YC,orig,2f_top28,pread,10,128,480.51,491.04,423.36,18.58,100.0,2535.80,131.16,2405.27,3022.85,2892.37,0.0
YC,orig,baseline,baseline,10,128,905.42,908.83,898.00,3.84,0.0,0.00,0.00,0.00,905.42,905.42,0.0
YC,orig,layers_5,async,10,128,872.06,877.65,804.08,31.67,100.0,202.53,131.81,70.28,1074.30,941.93,0.0
YC,orig,layers_5,pread,10,128,872.54,878.62,740.35,40.14,100.0,568.42,130.38,437.20,1442.48,1310.76,0.0
YC,orig,layers_92,async,10,128,478.58,484.62,474.02,3.53,100.0,331.37,131.56,199.12,813.21,680.65,0.0
YC,orig,layers_92,pread,10,128,483.34,493.90,475.61,5.60,100.0,8108.97,131.80,7979.42,8590.98,8461.03,0.0
