workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,e2e_median,e2e_warm_median,cold_pct_max
C_hit,orig,2d,async,10,128,588.75,594.57,524.16,20.02,100.0,293.70,225.45,68.27,883.25,657.99,0.0
C_hit,orig,2d,pread,10,128,589.70,593.74,585.62,2.64,100.0,657.88,225.86,432.02,1248.47,1022.46,0.0
C_hit,orig,2e_K10,async,10,128,593.08,599.06,521.95,31.56,100.0,305.31,225.50,79.56,900.21,673.28,0.0
C_hit,orig,2e_K10,pread,10,128,527.80,593.91,524.78,31.81,100.0,1211.81,225.72,986.58,1739.30,1514.10,0.0
C_hit,orig,2e_K500,async,10,128,591.66,595.03,583.26,3.78,46.3,935.62,226.46,708.53,1523.35,1296.83,0.0
C_hit,orig,2e_K500,pread,10,128,596.28,604.60,566.79,15.11,100.0,3336.59,225.95,3110.44,3935.19,3709.06,0.0
C_hit,orig,2f_slru,async,10,128,86.01,87.91,83.90,1.24,100.0,1585.67,225.83,1358.74,1671.49,1445.09,0.0
C_hit,orig,2f_slru,pread,10,128,84.09,89.35,80.78,2.55,100.0,4555.62,226.57,4329.44,4642.22,4416.03,0.0
C_hit,orig,2f_top14,async,10,128,595.96,598.89,531.46,19.43,100.0,304.61,226.91,77.84,900.57,673.93,0.0
C_hit,orig,2f_top14,pread,10,128,563.99,633.17,530.30,42.82,100.0,1104.59,226.38,878.51,1675.98,1449.62,0.0
C_hit,orig,2f_top28,async,10,128,591.27,593.42,528.87,18.82,100.0,322.52,226.62,95.48,913.21,686.19,0.0
C_hit,orig,2f_top28,pread,10,128,533.38,599.27,525.75,26.80,100.0,1109.63,226.51,883.07,1640.92,1414.38,0.0
C_hit,orig,baseline,baseline,10,128,989.64,1131.61,981.07,76.33,0.0,0.00,0.00,0.00,989.64,989.64,0.0
C_hit,orig,layers_92,async,10,128,590.00,597.74,522.54,30.98,100.0,427.38,225.86,200.99,1016.62,790.86,0.0
C_hit,orig,layers_92,pread,10,128,590.55,596.49,587.77,3.25,100.0,7994.35,226.82,7768.76,8588.38,8362.80,0.0
C_hit,orig,lp_shuf,pread,10,128,87.22,92.63,83.60,3.25,100.0,52837.60,82.81,52754.85,52925.41,52842.65,0.0
C_hit,orig,lp_sorted,pread,10,128,86.08,90.08,82.30,2.38,100.0,4484.88,82.49,4401.74,4574.88,4491.74,0.0
C_hit,orig,learned_markov_14,async,10,128,593.54,599.36,530.48,31.65,100.0,197.47,118.54,79.22,791.23,672.83,0.0
C_hit,orig,learned_markov_14,pread,10,128,588.13,596.58,526.94,31.48,100.0,1001.59,117.95,883.94,1590.83,1472.87,0.0
C_hit,orig,learned_markov_28,async,10,128,590.33,594.26,583.92,3.20,100.0,213.51,117.91,94.75,803.45,685.38,0.0
C_hit,orig,learned_markov_28,pread,10,128,532.12,596.51,529.99,28.52,100.0,1007.33,117.82,888.99,1538.86,1420.76,0.0
