workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,open_us,deliver_us,e2e_us,e2e_warm_us,avg_us,majflt,minflt,load,memavail_kb
YC,orig,baseline,baseline,128,1,1,0.00,0.00,1024.65,0.00,0.00,0.00,1024.65,1024.65,5.79,1122.00,1462.00,0.01,56938244
YC,orig,2d,pread,128,1,1,0.00,100.00,596.30,8157.73,154.55,8003.18,8754.03,8599.48,6.00,1126.00,1515.00,0.09,56940752
YC,orig,2d,async,128,1,1,0.00,100.00,530.46,349.77,152.86,196.91,880.23,727.37,5.83,1127.00,1514.00,0.09,56940596
YC,orig,2e_K10,pread,128,1,1,0.00,100.00,671.17,9078.97,155.68,8923.29,9750.14,9594.46,6.03,1125.00,1528.00,0.09,56941788
YC,orig,2e_K10,async,128,1,1,0.00,100.00,601.16,369.14,150.63,218.51,970.30,819.67,6.03,1126.00,1525.00,0.09,56943796
YC,orig,2e_K500,pread,128,1,1,0.00,100.00,669.87,51835.40,155.06,51680.34,52505.27,52350.21,6.13,1126.00,1690.00,0.09,56944600
YC,orig,2e_K500,async,128,1,1,0.00,100.00,671.68,1185.02,153.88,1031.14,1856.70,1702.82,6.17,1131.00,1675.00,0.09,56946100
YC,orig,2f_slru,pread,128,1,1,0.00,100.00,107.07,100898.80,154.97,100743.83,101005.87,100850.90,1.72,0.00,1652.00,0.09,56947056
YC,orig,2f_slru,async,128,1,1,0.00,100.00,107.82,42452.79,155.26,42297.53,42560.61,42405.35,1.76,0.00,1652.00,0.09,56943928
YC,orig,2f_top14,pread,128,1,1,0.00,100.00,635.11,1428.63,150.77,1277.86,2063.74,1912.97,6.22,1121.00,1475.00,0.09,56947960
YC,orig,2f_top14,async,128,1,1,0.00,100.00,637.93,239.81,154.46,85.35,877.74,723.28,5.86,1121.00,1475.00,0.16,56949928
YC,orig,2f_top28,pread,128,1,1,0.00,100.00,666.24,2600.51,150.48,2450.02,3266.75,3116.26,5.96,1123.00,1489.00,0.16,56949136
YC,orig,2f_top28,async,128,1,1,0.00,100.00,633.67,248.53,143.89,104.64,882.20,738.31,6.17,1123.00,1489.00,0.16,56949320
YC,orig,layers_5,pread,128,1,1,0.00,100.00,1058.44,592.71,153.35,439.37,1651.15,1497.81,6.22,1121.00,1464.00,0.16,56951088
YC,orig,layers_5,async,128,1,1,0.00,100.00,1029.23,222.89,152.98,69.91,1252.12,1099.14,6.25,1122.00,1463.00,0.16,56952260
YC,orig,layers_92,pread,128,1,1,0.00,100.00,663.65,8109.54,151.18,7958.36,8773.19,8622.01,6.08,1126.00,1515.00,0.16,56960492
YC,orig,layers_92,async,128,1,1,0.00,100.00,531.69,354.70,153.14,201.56,886.39,733.25,5.78,1127.00,1513.00,0.16,56962388
YC,orig,baseline,baseline,128,2,0,0.00,0.00,858.74,0.00,0.00,0.00,858.74,858.74,5.97,1122.00,1462.00,0.16,56963464
YC,orig,2d,pread,128,2,0,0.00,100.00,632.76,8081.01,141.52,7939.49,8713.77,8572.25,6.23,1126.00,1513.00,0.16,56963820
YC,orig,2d,async,128,2,0,0.00,100.00,664.36,345.33,140.60,204.72,1009.69,869.08,6.21,1127.00,1511.00,0.23,56963460
YC,orig,2e_K10,pread,128,2,0,0.00,100.00,663.86,8888.88,140.49,8748.38,9552.74,9412.24,5.82,1125.00,1527.00,0.23,56978576
YC,orig,2e_K10,async,128,2,0,0.00,100.00,666.99,355.30,142.09,213.21,1022.29,880.20,5.80,1126.00,1527.00,0.23,56978896
YC,orig,2e_K500,pread,128,2,0,0.00,100.00,665.22,51929.14,133.69,51795.45,52594.36,52460.67,6.09,1126.00,1692.00,0.23,56978328
YC,orig,2e_K500,async,128,2,0,0.00,100.00,636.45,1159.12,141.48,1017.64,1795.57,1654.09,6.18,1131.00,1676.00,0.23,56978508
YC,orig,2f_slru,pread,128,2,0,0.00,100.00,100.28,102279.48,143.12,102136.37,102379.76,102236.65,1.75,0.00,1652.00,0.23,56976296
YC,orig,2f_slru,async,128,2,0,0.00,100.00,104.51,42435.44,143.66,42291.78,42539.95,42396.29,1.77,0.00,1652.00,0.23,56972960
YC,orig,2f_top14,pread,128,2,0,0.00,100.00,633.79,1399.53,146.62,1252.91,2033.32,1886.70,6.23,1121.00,1475.00,0.23,56977972
YC,orig,2f_top14,async,128,2,0,0.00,100.00,664.44,227.38,143.64,83.74,891.82,748.18,6.25,1121.00,1475.00,0.23,56979372
YC,orig,2f_top28,pread,128,2,0,0.00,100.00,646.76,2596.55,141.82,2454.73,3243.31,3101.49,5.77,1123.00,1490.00,0.29,56979820
YC,orig,2f_top28,async,128,2,0,0.00,100.00,665.21,246.22,142.17,104.06,911.43,769.27,6.24,1123.00,1489.00,0.29,56965560
YC,orig,layers_5,pread,128,2,0,0.00,100.00,1039.20,581.34,143.58,437.76,1620.54,1476.96,6.20,1121.00,1464.00,0.29,56964980
YC,orig,layers_5,async,128,2,0,0.00,100.00,930.63,218.78,149.09,69.69,1149.41,1000.32,5.87,1122.00,1463.00,0.29,56966096
YC,orig,layers_92,pread,128,2,0,0.00,100.00,529.42,8051.84,143.70,7908.14,8581.26,8437.56,5.89,1126.00,1514.00,0.29,56965568
YC,orig,layers_92,async,128,2,0,0.00,100.00,666.31,340.82,142.69,198.13,1007.13,864.44,6.11,1127.00,1513.00,0.29,56964948
YC,orig,baseline,baseline,128,3,0,0.00,0.00,1056.94,0.00,0.00,0.00,1056.94,1056.94,6.19,1122.00,1462.00,0.29,56951628
YC,orig,2d,pread,128,3,0,0.00,100.00,636.86,8152.38,142.34,8010.04,8789.24,8646.90,6.20,1126.00,1514.00,0.29,56951732
YC,orig,2d,async,128,3,0,0.00,100.00,673.27,349.78,141.78,208.00,1023.05,881.27,6.21,1127.00,1512.00,0.35,56951908
YC,orig,2e_K10,pread,128,3,0,0.00,100.00,663.21,9135.21,143.60,8991.61,9798.42,9654.82,6.23,1125.00,1527.00,0.35,56952464
YC,orig,2e_K10,async,128,3,0,0.00,100.00,632.63,357.14,140.04,217.10,989.77,849.73,5.85,1126.00,1525.00,0.35,56953680
YC,orig,2e_K500,pread,128,3,0,0.00,100.00,670.15,51849.76,142.20,51707.56,52519.91,52377.71,6.05,1126.00,1693.00,0.35,56953032
YC,orig,2e_K500,async,128,3,0,0.00,100.00,633.47,1154.08,142.01,1012.07,1787.55,1645.54,6.17,1131.00,1673.00,0.35,56952000
YC,orig,2f_slru,pread,128,3,0,0.00,100.00,115.28,101041.54,139.65,100901.88,101156.82,101017.16,1.75,0.00,1652.00,0.35,56953816
YC,orig,2f_slru,async,128,3,0,0.00,100.00,101.31,42092.68,142.77,41949.92,42193.99,42051.23,1.76,0.00,1652.00,0.35,56954640
YC,orig,2f_top14,pread,128,3,0,0.00,100.00,660.91,1486.79,142.22,1344.57,2147.70,2005.48,6.25,1121.00,1475.00,0.35,56936216
YC,orig,2f_top14,async,128,3,0,0.00,100.00,633.78,234.99,148.71,86.28,868.77,720.06,6.22,1121.00,1475.00,0.35,56956872
YC,orig,2f_top28,pread,128,3,0,0.00,100.00,605.56,2597.37,143.15,2454.22,3202.93,3059.78,5.92,1123.00,1490.00,0.40,56956856
YC,orig,2f_top28,async,128,3,0,0.00,100.00,663.79,247.13,142.29,104.85,910.92,768.64,6.21,1123.00,1489.00,0.40,56956444
