workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,open_us_median,deliver_us_median,parse_us_median,ranges_median,e2e_median,e2e_warm_median,cold_pct_max
A,orig,2d,async,10,128,594.37,601.23,589.51,3.87,100.0,313.87,227.28,86.02,,,908.18,680.76,0.0
A,orig,2d,async_bulk,5,128,591.93,1021.56,588.80,214.72,100.0,310.69,226.21,23.08,61.92,13.00,904.83,615.88,0.0
A,orig,2d,async_win,10,128,596.12,1149.32,526.62,302.79,100.0,311.77,226.00,22.38,62.34,13.00,906.65,618.11,0.0
A,orig,2d,pread,5,128,594.92,595.92,531.54,25.23,100.0,1944.60,226.00,1717.24,,,2537.08,2311.15,0.0
A,orig,2e_K10,async,10,128,596.17,598.66,536.94,17.81,100.0,328.02,226.58,102.14,,,921.32,694.29,0.0
A,orig,2e_K10,async_bulk,5,128,525.72,593.05,524.49,33.09,100.0,328.25,226.01,40.05,62.37,23.00,855.22,566.97,0.0
A,orig,2e_K10,async_win,10,128,593.95,602.92,590.77,4.67,100.0,326.35,226.49,36.26,63.05,23.00,919.04,629.89,0.0
A,orig,2e_K10,pread,5,128,594.67,652.70,589.76,29.50,100.0,2726.79,224.87,2499.29,,,3321.46,3093.96,0.0
A,orig,2e_K500,async,10,128,638.75,800.15,567.45,95.52,100.0,1088.39,225.34,862.91,,,1731.53,1506.05,0.0
A,orig,2e_K500,async_bulk,5,128,638.10,641.26,635.38,2.14,100.0,1021.65,227.19,701.81,92.07,471.00,1660.15,1339.91,0.0
A,orig,2e_K500,async_win,10,128,639.00,641.50,634.02,2.23,100.0,1070.94,226.20,752.40,91.25,471.00,1708.66,1391.08,0.0
A,orig,2e_K500,pread,5,128,186.73,282.73,181.71,47.83,100.0,19280.76,225.33,19051.25,,,19467.49,19237.98,0.0
A,orig,2f_slru,async,10,128,99.08,102.02,96.50,2.03,100.0,7353.68,226.11,7124.32,,,7453.22,7223.85,0.0
A,orig,2f_slru,async_bulk,5,128,907.24,1479.75,780.50,315.67,1.4,714.15,227.07,84.04,404.95,2.00,1620.03,991.28,0.0
A,orig,2f_slru,async_win,10,128,97.81,99.89,96.56,1.16,84.4,2585.61,225.47,1947.81,404.25,138.00,2683.70,2045.90,0.0
A,orig,2f_slru,pread,5,128,98.78,100.39,97.09,1.37,100.0,18070.33,225.52,17845.19,,,18170.77,17945.63,0.0
A,orig,2f_top100,async,10,128,593.76,1159.54,563.19,303.16,100.0,442.37,226.32,210.13,,,1035.20,807.30,0.0
A,orig,2f_top100,async_bulk,5,128,596.83,600.65,592.13,2.99,100.0,427.04,226.50,134.64,65.97,98.00,1027.00,732.24,0.0
A,orig,2f_top100,async_win,10,128,596.16,600.38,535.75,18.36,100.0,423.69,226.38,127.64,66.62,98.00,1017.22,722.98,0.0
A,orig,2f_top100,pread,5,128,588.58,595.11,584.25,4.11,100.0,8795.57,227.31,8570.37,,,9388.41,9163.21,0.0
A,orig,2f_top14,async,10,128,597.82,1046.93,592.28,242.61,100.0,309.97,227.90,81.91,,,910.64,680.07,0.0
A,orig,2f_top14,async_bulk,5,128,592.05,600.33,525.76,27.90,100.0,307.15,225.69,19.56,61.92,13.00,899.20,611.97,0.0
A,orig,2f_top14,async_win,10,128,594.34,607.55,528.17,21.57,100.0,308.45,225.95,19.91,61.70,13.00,904.29,614.19,0.0
A,orig,2f_top14,pread,5,128,592.18,602.40,528.84,27.27,100.0,1414.58,226.52,1188.18,,,2012.84,1786.32,0.0
A,orig,2f_top28,async,10,128,593.47,601.01,529.42,20.08,100.0,328.27,225.82,102.48,,,922.10,695.54,0.0
A,orig,2f_top28,async_bulk,5,128,535.16,596.60,525.73,32.42,100.0,326.04,227.03,36.29,62.67,27.00,864.77,571.06,0.0
A,orig,2f_top28,async_win,10,128,593.69,600.90,524.92,27.88,100.0,329.69,228.62,38.19,64.30,27.00,924.63,630.89,0.0
A,orig,2f_top28,pread,5,128,594.08,603.72,592.99,4.65,100.0,2624.70,230.06,2399.18,,,3217.69,2992.57,0.0
A,orig,2f_top500,async,10,128,642.35,900.74,571.84,112.23,100.0,1089.61,226.09,862.05,,,1738.30,1508.16,0.0
A,orig,2f_top500,async_bulk,5,128,637.04,649.64,570.57,31.22,100.0,1032.30,228.73,678.72,129.77,460.00,1669.03,1309.48,0.0
A,orig,2f_top500,async_win,10,128,573.62,638.57,568.59,26.43,100.0,1094.38,226.59,738.05,129.06,460.00,1670.93,1313.35,0.0
A,orig,2f_top500,pread,5,128,186.28,408.14,183.44,111.20,100.0,18946.13,225.41,18719.58,,,19132.41,18905.86,0.0
A,orig,baseline,baseline,10,128,1023.85,1052.61,1012.85,15.76,0.0,0.00,0.00,0.00,,,1023.85,1023.85,0.0
A,orig,layers_5,async,10,128,995.70,1001.17,861.05,40.69,100.0,297.44,227.26,70.01,,,1293.16,1066.38,0.0
A,orig,layers_5,async_bulk,5,128,1002.25,1011.69,929.18,30.61,100.0,294.66,225.30,7.87,61.49,2.00,1296.91,1010.12,0.0
A,orig,layers_5,async_win,10,128,992.94,1009.17,861.51,46.87,100.0,295.06,225.97,7.47,61.53,2.00,1286.77,1000.47,0.0
A,orig,layers_5,pread,5,128,996.67,999.67,864.41,53.99,100.0,674.17,225.94,445.48,,,1664.72,1440.22,0.0
A,orig,layers_92,async,10,128,592.93,601.60,527.22,32.03,100.0,428.25,225.93,196.87,,,1013.32,781.54,0.0
A,orig,layers_92,async_bulk,5,128,598.35,603.05,592.62,4.05,100.0,419.38,226.06,127.23,66.25,87.00,1019.31,724.23,0.0
A,orig,layers_92,async_win,10,128,594.34,598.78,591.17,2.30,100.0,412.80,225.13,123.70,66.34,87.00,1006.42,718.53,0.0
A,orig,layers_92,pread,5,128,594.98,599.79,532.32,25.96,100.0,8157.75,227.05,7930.60,,,8751.77,8524.62,0.0
A,orig,leaf_freq_K10,async,10,128,1007.74,1019.95,936.76,33.75,100.0,300.38,225.21,75.34,,,1307.26,1083.75,0.0
A,orig,leaf_freq_K10,async_bulk,5,128,1010.91,1012.95,931.15,32.04,100.0,301.84,225.97,14.87,61.09,10.00,1312.53,1025.63,0.0
A,orig,leaf_freq_K10,async_win,10,128,1007.12,1536.16,873.97,300.02,100.0,302.91,226.25,15.00,60.89,10.00,1308.76,1022.69,0.0
A,orig,leaf_freq_K10,pread,5,128,1011.22,1018.35,1009.78,3.58,100.0,1157.06,228.54,929.04,,,2167.79,1939.26,0.0
A,orig,leaf_rand_K10,async,10,128,1012.44,2053.70,1004.56,425.55,100.0,301.40,224.67,75.50,,,1315.47,1089.00,0.0
A,orig,leaf_rand_K10,async_bulk,5,128,1013.14,1015.01,1007.77,2.91,100.0,300.05,223.80,15.45,62.01,10.00,1314.90,1029.68,0.0
A,orig,leaf_rand_K10,async_win,10,128,1008.24,1016.28,867.13,42.90,100.0,301.44,224.01,15.86,61.02,10.00,1309.99,1024.47,0.0
A,orig,leaf_rand_K10,pread,5,128,1009.75,1016.07,1007.67,3.35,100.0,1122.38,224.77,899.17,,,2130.54,1907.71,0.0
A,orig,learned_markov_14,async,10,128,597.03,601.37,590.30,3.61,100.0,306.50,224.58,81.41,,,902.47,677.59,0.0
A,orig,learned_markov_14,async_bulk,5,128,594.01,621.57,591.48,13.54,100.0,306.81,224.44,19.57,62.00,13.00,900.82,613.18,0.0
A,orig,learned_markov_14,async_win,10,128,592.39,600.73,528.90,25.26,100.0,305.93,225.04,19.68,61.53,13.00,897.27,611.07,0.0
A,orig,learned_markov_14,pread,5,128,593.93,605.18,529.82,28.13,100.0,1562.11,229.75,1300.53,,,2167.78,1906.20,0.0
A,orig,learned_markov_28,async,10,128,593.76,599.02,526.99,27.23,100.0,325.94,225.36,101.40,,,920.70,696.02,0.0
A,orig,learned_markov_28,async_bulk,5,128,594.46,1498.67,530.43,459.28,100.0,329.04,226.55,40.10,62.00,26.00,922.72,634.01,0.0
A,orig,learned_markov_28,async_win,10,128,594.40,596.25,526.40,20.40,100.0,322.77,225.47,34.82,62.31,26.00,917.74,629.70,0.0
A,orig,learned_markov_28,pread,5,128,591.37,595.64,527.41,26.01,100.0,2623.01,224.06,2398.31,,,3214.08,2989.61,0.0
B,orig,2d,async,10,128,527.71,613.45,522.07,37.37,100.0,311.62,225.09,86.39,,,843.88,617.59,0.0
B,orig,2d,async_bulk,5,128,528.47,662.94,527.11,67.09,100.0,309.86,226.81,21.53,61.91,13.00,837.99,549.85,0.0
B,orig,2d,async_win,10,128,527.00,536.85,524.52,4.65,100.0,311.56,226.60,21.93,62.27,13.00,837.69,550.27,0.0
B,orig,2d,pread,5,128,524.24,526.39,523.56,1.16,100.0,1910.76,225.15,1686.71,,,2434.32,2210.27,0.0
B,orig,2e_K10,async,10,128,528.81,534.25,525.16,3.17,100.0,327.77,226.00,102.13,,,856.66,630.29,0.0
B,orig,2e_K10,async_bulk,5,128,523.62,527.73,462.15,30.43,100.0,320.64,224.31,34.38,62.27,23.00,837.73,558.00,0.0
B,orig,2e_K10,async_win,10,128,526.84,540.59,458.81,28.38,100.0,322.79,224.88,35.88,62.28,23.00,849.94,562.36,0.0
B,orig,2e_K10,pread,5,128,527.07,893.37,523.58,183.52,100.0,2825.32,225.68,2599.64,,,3357.27,3130.19,0.0
B,orig,2e_K500,async,10,128,182.87,184.86,179.71,1.88,100.0,1123.51,225.23,895.63,,,1306.57,1078.39,0.0
B,orig,2e_K500,async_bulk,5,128,182.03,183.78,180.85,1.06,100.0,1054.26,224.03,738.65,91.22,461.00,1238.40,922.79,0.0
B,orig,2e_K500,async_win,10,128,181.34,184.11,179.46,1.50,100.0,1043.57,225.48,728.12,90.68,461.00,1224.80,909.36,0.0
B,orig,2e_K500,pread,5,128,183.75,193.41,180.39,5.05,100.0,18884.13,226.34,18657.35,,,19079.20,18852.42,0.0
B,orig,2f_slru,async,10,128,97.66,107.38,94.70,4.72,100.0,7403.77,226.67,7127.41,,,7501.65,7225.28,0.0
B,orig,2f_slru,async_bulk,5,128,825.83,850.89,726.76,45.67,2.2,737.50,227.32,105.96,410.02,3.00,1571.31,931.79,0.0
B,orig,2f_slru,async_win,10,128,98.40,102.20,96.42,1.99,88.2,2698.52,224.89,2059.27,414.78,139.00,2798.29,2159.03,0.0
B,orig,2f_slru,pread,5,128,98.39,99.39,95.87,1.28,100.0,18267.81,223.57,18044.24,,,18367.26,18143.69,0.0
B,orig,2f_top100,async,10,128,527.84,533.95,461.32,20.48,100.0,438.73,226.20,211.23,,,966.06,738.57,0.0
B,orig,2f_top100,async_bulk,5,128,530.00,1290.78,523.52,380.88,100.0,421.11,225.72,130.58,65.64,97.00,952.65,661.87,0.0
B,orig,2f_top100,async_win,10,128,530.40,559.86,464.05,36.72,100.0,422.33,226.02,128.67,66.10,97.00,953.40,659.96,0.0
B,orig,2f_top100,pread,5,128,530.10,538.51,524.33,5.46,100.0,8787.96,226.91,8564.22,,,9315.27,9091.53,0.0
B,orig,2f_top14,async,10,128,526.66,563.58,467.47,27.46,100.0,303.85,223.39,80.37,,,830.26,606.51,0.0
B,orig,2f_top14,async_bulk,5,128,532.44,537.52,463.03,28.55,100.0,308.90,226.47,19.92,62.41,13.00,841.34,552.46,0.0
B,orig,2f_top14,async_win,10,128,527.53,531.34,525.73,2.03,100.0,307.27,225.66,19.47,62.00,13.00,835.83,547.56,0.0
B,orig,2f_top14,pread,5,128,530.32,553.12,530.00,11.09,100.0,1464.14,222.79,1245.44,,,1994.21,1775.51,0.0
B,orig,2f_top28,async,10,128,528.22,732.46,523.85,103.43,100.0,326.37,225.00,101.09,,,854.99,630.91,0.0
B,orig,2f_top28,async_bulk,5,128,526.13,532.54,464.32,25.99,100.0,327.72,225.16,39.29,61.73,27.00,853.85,565.87,0.0
B,orig,2f_top28,async_win,10,128,526.70,529.58,463.25,28.54,100.0,327.68,225.86,38.82,62.48,27.00,852.32,564.64,0.0
B,orig,2f_top28,pread,5,128,528.91,535.31,462.14,33.52,100.0,2655.10,224.73,2432.26,,,3146.50,2921.76,0.0
B,orig,2f_top500,async,10,128,184.22,187.20,181.88,1.68,100.0,1095.43,223.87,870.90,,,1280.12,1055.49,0.0
B,orig,2f_top500,async_bulk,5,128,185.22,188.40,183.12,1.98,100.0,1027.34,224.90,713.53,89.90,448.00,1212.08,898.27,0.0
B,orig,2f_top500,async_win,10,128,184.81,223.13,182.65,19.68,100.0,1041.49,226.56,721.58,90.12,448.00,1228.04,907.58,0.0
B,orig,2f_top500,pread,5,128,183.31,189.44,179.81,3.91,100.0,18506.51,224.19,18281.42,,,18690.35,18466.94,0.0
B,orig,baseline,baseline,10,128,911.41,952.24,829.04,43.57,0.0,0.00,0.00,0.00,,,911.41,911.41,0.0
B,orig,layers_5,async,10,128,912.14,935.28,873.26,16.61,100.0,294.25,224.95,69.72,,,1207.69,981.94,0.0
B,orig,layers_5,async_bulk,5,128,913.03,918.35,809.81,41.97,100.0,296.46,225.58,7.24,63.63,2.00,1210.55,921.82,0.0
B,orig,layers_5,async_win,10,128,911.56,938.28,780.68,50.94,100.0,297.35,228.74,7.59,61.28,2.00,1208.93,918.75,0.0
B,orig,layers_5,pread,5,128,914.92,2095.20,803.81,565.49,100.0,670.44,224.23,444.73,,,2546.40,1977.67,0.0
B,orig,layers_92,async,10,128,525.73,531.52,461.69,25.89,100.0,429.12,225.12,204.31,,,955.24,729.86,0.0
B,orig,layers_92,async_bulk,5,128,528.44,532.14,526.75,2.05,100.0,423.03,225.27,130.32,65.43,87.00,952.46,661.91,0.0
B,orig,layers_92,async_win,10,128,525.57,596.39,463.48,42.75,100.0,422.57,225.25,128.40,65.87,87.00,948.80,656.91,0.0
B,orig,layers_92,pread,5,128,524.53,528.91,465.33,24.16,100.0,8207.47,227.89,7979.58,,,8732.00,8504.11,0.0
B,orig,leaf_freq_K10,async,10,128,917.84,941.25,812.24,48.94,100.0,304.14,226.80,76.81,,,1219.33,993.31,0.0
B,orig,leaf_freq_K10,async_bulk,5,128,878.79,919.35,813.82,45.52,100.0,301.66,224.03,14.99,61.39,10.00,1178.81,893.78,0.0
B,orig,leaf_freq_K10,async_win,10,128,905.05,948.66,860.47,30.86,100.0,303.54,225.73,14.89,61.64,10.00,1210.03,919.08,0.0
B,orig,leaf_freq_K10,pread,5,128,923.89,947.01,920.43,11.63,100.0,1093.71,224.47,869.99,,,2036.44,1811.96,0.0
B,orig,leaf_rand_K10,async,10,128,922.72,952.01,825.80,43.38,100.0,302.05,226.16,75.86,,,1225.49,997.40,0.0
B,orig,leaf_rand_K10,async_bulk,5,128,889.42,944.52,793.18,53.15,100.0,302.27,224.02,16.03,61.81,10.00,1191.49,905.29,0.0
B,orig,leaf_rand_K10,async_win,10,128,882.21,948.62,812.75,51.81,100.0,304.43,225.19,16.34,61.96,10.00,1184.65,897.15,0.0
B,orig,leaf_rand_K10,pread,5,128,928.27,961.84,919.62,16.93,100.0,1066.25,224.62,841.63,,,2030.73,1806.11,0.0
B,orig,learned_markov_14,async,10,128,527.75,531.67,462.98,26.33,100.0,306.49,225.28,80.40,,,832.83,608.71,0.0
B,orig,learned_markov_14,async_bulk,5,128,532.43,567.94,524.10,19.10,100.0,310.51,226.15,20.06,61.88,13.00,842.94,552.70,0.0
B,orig,learned_markov_14,async_win,10,128,529.43,570.73,461.64,37.51,100.0,306.75,224.34,19.20,62.55,13.00,831.69,548.44,0.0
B,orig,learned_markov_14,pread,5,128,529.30,535.49,459.68,35.12,100.0,1439.71,224.74,1214.96,,,1950.90,1727.41,0.0
B,orig,learned_markov_28,async,10,128,529.44,536.77,523.48,4.11,100.0,325.50,225.69,100.97,,,855.79,630.46,0.0
B,orig,learned_markov_28,async_bulk,5,128,531.43,532.62,526.02,2.46,100.0,329.84,227.40,38.28,63.11,27.00,855.86,565.51,0.0
B,orig,learned_markov_28,async_win,10,128,528.56,533.45,464.25,24.97,100.0,327.49,225.17,39.48,62.84,27.00,855.17,567.75,0.0
B,orig,learned_markov_28,pread,5,128,527.27,530.43,462.36,31.45,100.0,2489.08,225.51,2263.57,,,3020.12,2794.61,0.0
C,orig,2d,async,10,128,445.15,475.57,439.96,14.21,100.0,293.62,224.39,68.75,,,741.43,514.65,0.0
